Combinations,Annoyance,HA,LOG10VDV,LAE,20LOG10VDV
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,1,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,4,0,-1.457253405,60,-29.1450681
V1N1,NA,NA,-1.457253405,60,-29.1450681
V1N1,NA,NA,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,1,0,-1.457253405,60,-29.1450681
V1N1,1,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,1,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,1,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,3,0,-1.457253405,66,-29.1450681
V1N2,1,0,-1.457253405,66,-29.1450681
V1N2,3,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,3,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,4,0,-1.457253405,66,-29.1450681
V1N2,NA,NA,-1.457253405,66,-29.1450681
V1N2,NA,NA,-1.457253405,66,-29.1450681
V1N2,1,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,1,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,1,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,1,0,-1.457253405,66,-29.1450681
V1N2,1,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V2N1,2,0,-1.155623701,60,-23.11247402
V2N1,3,0,-1.155623701,60,-23.11247402
V2N1,1,0,-1.155623701,60,-23.11247402
