Noise,LEA,CN,HCN,Vibration,20LOG10VDV,CV,HCV,Combinations,CT,HCT,TLOG10VDV,T20LOG10VDV,TLEA
N1V0,59,2.202774636,0,V1N0,-29.16363982,0.815,0,V1N1,3.192833637,0,-1.458181992,-29.16363983,59
N1V0,59,3.192833637,0,V1N0,-29.16363982,0.815,0,,2.202774636,0,-1.458181992,-29.16363983,59
N1V0,59,2.202774636,0,V1N0,-29.16363982,0.815,0,,0.815,0,-1.458181992,-29.16363983,59
N1V0,59,3.192833637,0,V1N0,-29.16363982,2.202774636,0,,3.883237714,0,-1.458181992,-29.16363983,59
N1V0,59,3.192833637,0,V1N0,-29.16363982,2.202774636,0,,3.192833637,0,-1.458181992,-29.16363983,59
N1V0,59,2.202774636,0,V1N0,-29.16363982,0.815,0,,2.202774636,0,-1.458181992,-29.16363983,59
N1V0,59,0.815,0,V1N0,-29.16363982,0.815,0,,2.202774636,0,-1.458181992,-29.16363983,59
N1V0,59,0.815,0,V1N0,-29.16363982,0.815,0,,3.192833637,0,-1.458181992,-29.16363983,59
N1V0,59,3.192833637,0,V1N0,-29.16363982,2.202774636,0,,3.192833637,0,-1.458181992,-29.16363983,59
N1V0,59,2.202774636,0,V1N0,-29.16363982,0.815,0,,3.883237714,0,-1.458181992,-29.16363983,59
N1V0,59,0.815,0,V1N0,-29.16363982,NA,NA,,NA,NA,-1.458181992,-29.16363983,59
N1V0,59,2.202774636,0,V1N0,-29.16363982,0.815,0,,2.202774636,0,-1.458181992,-29.16363983,59
N1V0,59,2.202774636,0,V1N0,-29.16363982,0.815,0,,2.202774636,0,-1.458181992,-29.16363983,59
N1V0,59,0.815,0,V1N0,-29.16363982,NA,NA,,NA,NA,-1.458181992,-29.16363983,59
N1V0,59,3.883237714,0,V1N0,-29.16363982,3.192833637,0,,3.883237714,0,-1.458181992,-29.16363983,59
N1V0,59,2.202774636,0,V1N0,-29.16363982,0.815,0,,2.202774636,0,-1.458181992,-29.16363983,59
N1V0,59,2.202774636,0,V1N0,-29.16363982,NA,NA,,NA,NA,-1.458181992,-29.16363983,59
N1V0,59,0.815,0,V1N0,-29.16363982,NA,NA,,NA,NA,-1.458181992,-29.16363983,59
N1V0,59,3.192833637,0,V1N0,-29.16363982,0.815,0,,2.202774636,0,-1.458181992,-29.16363983,59
N1V0,59,2.202774636,0,V1N0,-29.16363982,2.202774636,0,,2.202774636,0,-1.458181992,-29.16363983,59
N2V0,65,3.192833637,0,V2N0,-22.71852752,2.202774636,0,V1N2,2.202774636,0,-1.458181992,-29.16363983,65
N2V0,65,3.192833637,0,V2N0,-22.71852752,2.202774636,0,,2.202774636,0,-1.458181992,-29.16363983,65
N2V0,65,2.202774636,0,V2N0,-22.71852752,0.815,0,,2.202774636,0,-1.458181992,-29.16363983,65
N2V0,65,4.537024483,0,V2N0,-22.71852752,3.192833637,0,,3.883237714,0,-1.458181992,-29.16363983,65
N2V0,65,3.192833637,0,V2N0,-22.71852752,3.192833637,0,,3.883237714,0,-1.458181992,-29.16363983,65
N2V0,65,3.192833637,0,V2N0,-22.71852752,2.202774636,0,,2.202774636,0,-1.458181992,-29.16363983,65
N2V0,65,2.202774636,0,V2N0,-22.71852752,0.815,0,,2.202774636,0,-1.458181992,-29.16363983,65
N2V0,65,3.192833637,0,V2N0,-22.71852752,3.192833637,0,,2.202774636,0,-1.458181992,-29.16363983,65
N2V0,65,3.883237714,0,V2N0,-22.71852752,4.537024483,0,,3.883237714,0,-1.458181992,-29.16363983,65
N2V0,65,3.192833637,0,V2N0,-22.71852752,2.202774636,0,,3.883237714,0,-1.458181992,-29.16363983,65
N2V0,65,0.815,0,V2N0,-22.71852752,3.192833637,0,,NA,NA,-1.458181992,-29.16363983,65
N2V0,65,3.192833637,0,V2N0,-22.71852752,0.815,0,,0.815,0,-1.458181992,-29.16363983,65
N2V0,65,3.192833637,0,V2N0,-22.71852752,2.202774636,0,,2.202774636,0,-1.458181992,-29.16363983,65
N2V0,65,2.202774636,0,V2N0,-22.71852752,NA,NA,,NA,NA,-1.458181992,-29.16363983,65
N2V0,65,3.192833637,0,V2N0,-22.71852752,3.192833637,0,,4.537024483,0,-1.458181992,-29.16363983,65
N2V0,65,2.202774636,0,V2N0,-22.71852752,3.192833637,0,,3.192833637,0,-1.458181992,-29.16363983,65
N2V0,65,2.202774636,0,V2N0,-22.71852752,3.192833637,0,,NA,NA,-1.458181992,-29.16363983,65
N2V0,65,0.815,0,V2N0,-22.71852752,0.815,0,,NA,NA,-1.458181992,-29.16363983,65
N2V0,65,3.192833637,0,V2N0,-22.71852752,2.202774636,0,,3.883237714,0,-1.458181992,-29.16363983,65
N2V0,65,2.202774636,0,V2N0,-22.71852752,NA,NA,,3.192833637,0,-1.458181992,-29.16363983,65
N3V0,71,4.537024483,0,V3N0,-16.54933262,2.202774636,0,V2N1,2.202774636,0,-1.135926376,-22.71852752,59
N3V0,71,4.537024483,0,V3N0,-16.54933262,3.192833637,0,,2.202774636,0,-1.135926376,-22.71852752,59
N3V0,71,2.202774636,0,V3N0,-16.54933262,0.815,0,,2.202774636,0,-1.135926376,-22.71852752,59
N3V0,71,6.237370812,1,V3N0,-16.54933262,4.537024483,0,,4.537024483,0,-1.135926376,-22.71852752,59
N3V0,71,3.192833637,0,V3N0,-16.54933262,3.192833637,0,,3.192833637,0,-1.135926376,-22.71852752,59
N3V0,71,3.883237714,0,V3N0,-16.54933262,3.192833637,0,,3.192833637,0,-1.135926376,-22.71852752,59
